bd_swab_id,qpcr_plate_id,average_ct,average_target_quant,standard,qpcr_date,qpcr_lab
180514-32-PA12-ANAM,SERDP_83_08032018,37.9157753,1.866555214,plasmid-pisces,2018-08-03T00:00:00Z,rz_lab
180514-35-PA12-HYVE,SERDP_83_08032018,37.16947556,3.171669245,plasmid-pisces,2018-08-03T00:00:00Z,rz_lab
180514-36-PA12-LICA,SERDP_83_08032018,36.83985519,4.008498669,plasmid-pisces,2018-08-03T00:00:00Z,rz_lab
180514-37-PA12-LICL,SERDP_83_08032018,37.04862595,3.455987692,plasmid-pisces,2018-08-03T00:00:00Z,rz_lab
180514-38-PA12-LICL,SERDP_83_08032018,34.93493652,15.51257229,plasmid-pisces,2018-08-03T00:00:00Z,rz_lab
180514-40-PA12-LICL,SERDP_83_08032018,34.29220581,24.489387509999997,plasmid-pisces,2018-08-03T00:00:00Z,rz_lab
180515-02-TN03-LISP,SERDP_101_092818,31.226,884.125,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180515-03-TN03-LISP,SERDP_101_092818,30.699,1248.6699999999998,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180515-04-TN03-LISP,SERDP_101_092818,37.446,15.019,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180515-05-TN03-LISP,SERDP_101_092818,35.202,65.337,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180515-07-TN03-LISP,SERDP_101_092818,34.75,87.85199999999999,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180515-08-TN03-LISP,SERDP_101_092818,34.595,97.286,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180515-09-TN03-LISP,SERDP_101_092818,36.276,32.342,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180515-10-TN03-LISP,SERDP_101_092818,38.577,7.159999999999999,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180515-11-TN03-LICL,SERDP_101_092818,39.726,3.373,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180515-14-TN03-ANFO,SERDP_101_092818,35.837,43.106,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180515-15-TN03-ANAM,SERDP_101_092818,33.898,153.572,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180515-16-TN03-LICA,SERDP_101_092818,33.937,149.654,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180515-17-TN03-LICA,SERDP_101_092818,34.879,80.74700000000001,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180515-18-TN03-LICA,SERDP_101_092818,29.98,2000.22,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180515-19-TN03-LICA,SERDP_101_092818,35.111,69.365,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180515-31-TN03-ANAM,SERDP_101_092818,29.305,3113.05,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180515-37-TN03-ANAM,SERDP_101_092818,21.641,472005.94,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180515-38-TN03-ANAM,SERDP_101_092818,30.788,1177.79,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180515-39-TN03-LICA,SERDP_101_092818,35.351,59.287,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180515-40-TN03-LICA,SERDP_101_092818,33.941,149.339,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180515-41-TN03-LICA,SERDP_101_092818,29.909,2095.94,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180515-43-TN03-AMSP,SERDP_101_092818,39.469,3.991,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180515-44-TN03-AMSP,SERDP_101_092818,38.362,8.243999999999998,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180515-45-TN03-HYCH,SERDP_101_092818,37.891,11.222,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180516-01-PA10-LICL,SERDP_78_072718,32.30854034,79.92001343000001,plasmid-pisces,2018-07-27T00:00:00Z,rz_lab
180516-01-TN01-LISP,SERDP_101_092818,32.671,343.074,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180516-02-PA10-LICA,SERDP_78_072718,24.90400505,16972.091800000002,plasmid-pisces,2018-07-27T00:00:00Z,rz_lab
180516-02-TN01-LICA,SERDP_101_092818,32.259,449.432,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180516-03-PA10-LICA,SERDP_78_072718,29.23108482,741.0217896,plasmid-pisces,2018-07-27T00:00:00Z,rz_lab
180516-03-TN01-LICA,SERDP_101_092818,34.057,138.35200000000003,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180516-04-PA10-LICA,SERDP_78_072718,25.26016235,13116.05078,plasmid-pisces,2018-07-27T00:00:00Z,rz_lab
180516-04-TN01-LICL,SERDP_101_092818,35.155,67.409,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180516-05-PA10-LICL,SERDP_78_072718,36.21133423,4.743454455999999,plasmid-pisces,2018-07-27T00:00:00Z,rz_lab
180516-06-PA10-LICL,SERDP_78_072718,33.67442322,29.74329567,plasmid-pisces,2018-07-27T00:00:00Z,rz_lab
180516-07-PA10-LICL,SERDP_78_072718,39.12828827,0.574594259,plasmid-pisces,2018-07-27T00:00:00Z,rz_lab
180516-07-TN01-LICL,SERDP_101_092818,33.763,167.725,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180516-08-PA10-LICA,SERDP_78_072718,35.41262436,8.454956055000002,plasmid-pisces,2018-07-27T00:00:00Z,rz_lab
180516-08-TN01-LICL,SERDP_101_092818,33.767,167.36700000000002,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180516-09-PA10-LICA,SERDP_78_072718,30.87273979,225.88923650000004,plasmid-pisces,2018-07-27T00:00:00Z,rz_lab
180516-11-TN01-LICL,SERDP_101_092818,36.854,22.146,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180516-12-NM36-LICH,SERDP_93_091018,37.158,2.647,plasmid-pisces,2018-09-10T00:00:00Z,rz_lab
180516-12-PA10-HYVE,SERDP_78_072718,35.64369965,7.153022289,plasmid-pisces,2018-07-27T00:00:00Z,rz_lab
180516-12-TN01-LICL,SERDP_101_092818,37.341,16.094,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180516-13-PA10-HYVE,SERDP_78_072718,38.73761749,0.7623254060000001,plasmid-pisces,2018-07-27T00:00:00Z,rz_lab
180516-14-PA10-HYVE,SERDP_78_072718,37.25693893,2.2257919310000003,plasmid-pisces,2018-07-27T00:00:00Z,rz_lab
180516-15-TN01-LICL,SERDP_101_092818,38.047,10.13,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180516-17-PA10-HYVE,SERDP_78_072718,29.44345474,635.4594727,plasmid-pisces,2018-07-27T00:00:00Z,rz_lab
180516-17-TN01-LICL,SERDP_101_092818,38.531,7.378,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180516-18-TN01-LICL,SERDP_101_092818,35.113,69.27799999999999,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180516-19-TN01-PSCR,SERDP_101_092818,31.377,800.727,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180516-20-TN01-PSCR,SERDP_101_092818,36.948,20.825,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180516-21-PA10-HYVE,SERDP_78_072718,24.54418945,22020.00195,plasmid-pisces,2018-07-27T00:00:00Z,rz_lab
180516-22-PA10-HYVE,SERDP_78_072718,37.81639481,1.48477304,plasmid-pisces,2018-07-27T00:00:00Z,rz_lab
180516-22-TN01-PSCR,SERDP_101_092818,30.326,1595.01,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180516-27-PA10-HYVE,SERDP_78_072718,35.67768478,6.979250908000001,plasmid-pisces,2018-07-27T00:00:00Z,rz_lab
180516-28-PA10-HYVE,SERDP_78_072718,37.62600327,1.704103112,plasmid-pisces,2018-07-27T00:00:00Z,rz_lab
180516-29-PA10-HYVE,SERDP_78_072718,33.53591156,32.87912369,plasmid-pisces,2018-07-27T00:00:00Z,rz_lab
180516-30-PA10-HYVE,SERDP_78_072718,34.29618835,18.966283799999996,plasmid-pisces,2018-07-27T00:00:00Z,rz_lab
180516-31-PA10-PSCR,SERDP_78_072718,33.60240173,31.334577560000003,plasmid-pisces,2018-07-27T00:00:00Z,rz_lab
180516-32-PA10-PSCR,SERDP_78_072718,25.406744,11796.02734,plasmid-pisces,2018-07-27T00:00:00Z,rz_lab
180516-33-PA10-PSCR,SERDP_78_072718,34.35318375,18.199935910000004,plasmid-pisces,2018-07-27T00:00:00Z,rz_lab
180516-34-PA10-PSCR,SERDP_78_072718,34.60991669,15.11417484,plasmid-pisces,2018-07-27T00:00:00Z,rz_lab
180517-01-TN02-LISP,SERDP_101_092818,38.403,8.024,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180517-02-TN02-LISP,SERDP_101_092818,36.965,20.591,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180517-03-TN02-LISP,SERDP_101_092818,32.243,454.019,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180517-06-TN02-LICA,SERDP_101_092818,36.347,30.874,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180517-07-TN02-LICA,SERDP_101_092818,32.243,454.125,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180517-08-TN02-LICA,SERDP_101_092818,38.037,10.202,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180517-09-TN02-LICA,SERDP_101_092818,34.423,108.844,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180517-10-TN02-LICA,SERDP_101_092818,37.877,11.33,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180517-11-TN02-AMSP,SERDP_101_092818,36.055,37.382,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180518-01-TN05-LISP,SERDP_102_092818,22.064,53067.64,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180518-03-PA02-HYVE,SERDP_83_08032018,38.58452606,1.1606975790000005,plasmid-pisces,2018-08-03T00:00:00Z,rz_lab
180518-03-TN05-LISP,SERDP_102_092818,35.7,7.67,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180518-04-TN05-LISP,SERDP_102_092818,33.229,36.879,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180518-05-TN05-LISP,SERDP_102_092818,32.429,62.115,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180518-06-TN05-LICA,SERDP_102_092818,28.998,580.086,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180518-07-TN05-LICA,SERDP_102_092818,32.438,61.737,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180518-08-TN05-LICA,SERDP_102_092818,33.072,40.84,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180518-09-TN05-LICA,SERDP_102_092818,34.919,12.268,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180518-10-PA02-HYVE,SERDP_83_08032018,38.49456406,1.2372970579999998,plasmid-pisces,2018-08-03T00:00:00Z,rz_lab
