bd_swab_id,extraction_plate_id,extraction_date,qpcr_plate_id,qpcr_date,average_ct,average_copy_number,average_zoospores,extract_lab,qpcr_lab,standard,master_mix,qpcr_machine,extraction_kit,replicate,result,swab_type
190703-20-PA03-LIPI,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190703-21-PA03-LIPI,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190703-22-PA03-LIPI,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,36.74254227,3.400909901,136.036396,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,p,mw113
190703-23-PA03-LIPI,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,38.55176926,1.024588346,40.98353386,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,p,mw113
190703-24-PA03-LIPI,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190703-25-PA03-LIPI,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190703-26-PA03-ANAM,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,36.01765442,5.499942303000001,219.9976921,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,p,mw113
190703-27-PA03-ANAM,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,36.97967529,2.9060449599999996,116.2417984,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,p,mw113
190703-28-PA03-ANAM,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,37.00773621,2.8524692059999994,114.0987682,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,p,mw113
190705-01-PA03-LIPI,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190705-02-PA03-LIPI,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190705-03-PA03-LIPI,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190705-04-PA03-LIPI,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190705-05-PA03-LIPI,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190705-06-PA03-LIPI,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190705-07-PA03-LIPI,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190705-08-PA03-LIPI,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190705-09-PA03-LIPI,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190705-10-PA03-LIPI,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190705-11-PA03-LIPI,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190705-12-PA03-LIPI,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190705-13-PA03-LIPI,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190705-14-PA03-LIPI,120_CLN,2019-10-09T00:00:00Z,SERDP_143_101019,2019-10-10T00:00:00Z,NA,NA,NA,rz_lab,rz_lab,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
